Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
P22,Toast,6,NA,NA,NA,NA,7458.83103111,
P22,Carrots,7,NA,NA,NA,NA,9484.26894833,
P22,Chicken Wings,9,NA,NA,NA,NA,11229.7033827,
P22,Ham,7,NA,NA,NA,NA,16078.4547943,
P22,Fried Chicken,7,NA,NA,NA,NA,19884.7955515,
P22,Potato Chips,7,NA,NA,NA,NA,21759.7725006,
P22,Avocado,7,NA,NA,NA,NA,23499.1112372,
P22,Boiled Spinach,3,NA,NA,NA,NA,26103.0309311,
P22,Bagel,4,NA,NA,NA,NA,30997.7414268,
P22,Brussel Sprouts,7,NA,NA,NA,NA,43532.6067848,
P22,Sausage And Biscuit Sandwich,7,NA,NA,NA,NA,46537.4165988,
P22,Green Beans,4,NA,NA,NA,NA,52762.331025,
P22,Tomato Soup,8,NA,NA,NA,NA,56193.8810611,
P22,Jell-O,4,NA,NA,NA,NA,59254.2401219,
P22,Pizza,9,NA,NA,NA,NA,61159.0231522,
P22,Garlic Bread,7,NA,NA,NA,NA,64448.7161193,
P22,Turkey Sub,5,NA,NA,NA,NA,67068.9411092,
P22,Oysters,7,NA,NA,NA,NA,70874.213166,
P22,French Fries,9,NA,NA,NA,NA,73113.2060979,
P22,Rigattoni With Marinara Sauce,5,NA,NA,NA,NA,76758.3210809,
P22,French Toast,7,NA,NA,NA,NA,78684.3082797,
P22,Taco,9,NA,NA,NA,NA,81789.0650891,
P22,Cheeseburger,9,NA,NA,NA,NA,83650.977606,
P22,Sushi,9,NA,NA,NA,NA,84939.3538997,
P22,Broccoli,7,NA,NA,NA,NA,87300.9745766,
P22,Pop Tart,9,NA,NA,NA,NA,88644.8964754,
P22,Baked Potato,9,NA,NA,NA,NA,90065.8346607,
P22,Asparagus,8,NA,NA,NA,NA,91764.3393077,
P22,Croissant,8,NA,NA,NA,NA,101698.207344,
P22,Oatmeal,6,NA,NA,NA,NA,105010.587352,
P22,Ruben Sandwich,5,NA,NA,NA,NA,108051.098977,
P22,Chocolate Chip Cookie,7,NA,NA,NA,NA,109709.691239,
P22,Peas,5,NA,NA,NA,NA,111602.477544,
P22,Popcorn,7,NA,NA,NA,NA,113468.073899,
