Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
TP29,Toast,5,NA,NA,NA,NA,6145.63237296,
TP29,Carrots,3,NA,NA,NA,NA,8156.96395559,
TP29,Chicken Wings,5,NA,NA,NA,NA,10030.9965648,
TP29,Ham,6,NA,NA,NA,NA,11408.972235,
TP29,Fried Chicken,5,NA,NA,NA,NA,14905.9939162,
TP29,Potato Chips,5,NA,NA,NA,NA,17291.3634052,
TP29,Avocado,4,NA,NA,NA,NA,19561.6279578,
TP29,Boiled Spinach,1,NA,NA,NA,NA,21607.2184833,
TP29,Bagel,5,NA,NA,NA,NA,23742.9630763,
TP29,Brussel Sprouts,1,NA,NA,NA,NA,25144.5355332,
TP29,Sausage And Biscuit Sandwich,4,NA,NA,NA,NA,27126.0736647,
TP29,Green Beans,3,NA,NA,NA,NA,28789.1866104,
TP29,Tomato Soup,1,NA,NA,NA,NA,30397.7793713,
TP29,Jell-O,5,NA,NA,NA,NA,32674.0737283,
TP29,Pizza,6,NA,NA,NA,NA,34237.137874,
TP29,Garlic Bread,7,NA,NA,NA,NA,35590.3825067,
TP29,Turkey Sub,6,NA,NA,NA,NA,38465.1636685,
TP29,Oysters,1,NA,NA,NA,NA,39872.9629173,
TP29,French Fries,7,NA,NA,NA,NA,41239.0849053,
TP29,Rigattoni With Marinara Sauce,7,NA,NA,NA,NA,43181.5595849,
TP29,French Toast,5,NA,NA,NA,NA,45387.547277,
TP29,Taco,4,NA,NA,NA,NA,47230.4671153,
TP29,Cheeseburger,5,NA,NA,NA,NA,50176.6944899,
TP29,Sushi,1,NA,NA,NA,NA,51370.6500522,
TP29,Broccoli,1,NA,NA,NA,NA,52920.5296084,
TP29,Pop Tart,2,NA,NA,NA,NA,54922.5299421,
TP29,Baked Potato,3,NA,NA,NA,NA,57302.181496,
TP29,Asparagus,2,NA,NA,NA,NA,59768.3983028,
TP29,Croissant,7,NA,NA,NA,NA,63226.3432893,
TP29,Oatmeal,2,NA,NA,NA,NA,65033.0995307,
TP29,Ruben Sandwich,1,NA,NA,NA,NA,67127.1410391,
TP29,Chocolate Chip Cookie,8,NA,NA,NA,NA,69556.7439917,
TP29,Peas,4,NA,NA,NA,NA,72291.7626774,
TP29,Popcorn,6,NA,NA,NA,NA,74892.0025055,
TP29,Veggie Sandwich,1,NA,NA,NA,NA,77957.4646018,
TP29,Steak,6,NA,NA,NA,NA,81180.6607259,
TP29,Fried Egg,5,NA,NA,NA,NA,85949.463598,
TP29,Grilled Chicken Sandwich,7,NA,NA,NA,NA,89371.9505008,
TP29,Chicken Nuggets,6,NA,NA,NA,NA,91037.9315185,
TP29,Raspberry Shake,8,NA,NA,NA,NA,93062.7095682,
TP29,Waffles,8,NA,NA,NA,NA,95422.1899317,
TP29,Apple,6,NA,NA,NA,NA,97401.517168,
TP29,Hot Dog,4,NA,NA,NA,NA,101543.535234,
TP29,Glazed Donut,6,NA,NA,NA,NA,106566.689709,
TP29,Bacon,9,NA,NA,NA,NA,109016.633692,
TP29,Tater-Tots,6,NA,NA,NA,NA,111497.112726,
TP29,Onion Rings,2,NA,NA,NA,NA,114244.5648,
TP29,Mashed Potatoes,6,NA,NA,NA,NA,116263.798727,
TP29,Saltine Crackers,6,NA,NA,NA,NA,119426.230328,
TP29,Liver And Onions,1,NA,NA,NA,NA,120976.560141,
TP29,Vegetable Salad,7,NA,NA,NA,NA,123078.064331,
TP29,NA,NA,Liver And Onions,Peas,D,d,556.961174589,
TP29,NA,NA,Veggie Sandwich,Taco,D,d,496.590626175,
TP29,NA,NA,Ruben Sandwich,Steak,C,d,558.439077555,
TP29,NA,NA,Avocado,Popcorn,C,c,508.446957056,
TP29,NA,NA,Fried Egg,Turkey Sub,C,c,590.851966035,
TP29,NA,NA,Cheeseburger,Pizza,C,c,415.374494785,
TP29,NA,NA,Tomato Soup,Ham,D,c,331.731278571,
TP29,NA,NA,Jell-O,Vegetable Salad,C,d,298.38841038,
TP29,NA,NA,Bagel,Grilled Chicken Sandwich,C,c,485.066359962,
TP29,NA,NA,Potato Chips,Croissant,C,d,411.630407721,
TP29,NA,NA,Oatmeal,Rigattoni With Marinara Sauce,D,c,534.479767561,
TP29,NA,NA,Asparagus,Chicken Wings,D,c,544.539704737,
TP29,NA,NA,Pop Tart,Garlic Bread,D,c,518.17151885,
TP29,NA,NA,Baked Potato,Saltine Crackers,C,c,322.367584662,
TP29,NA,NA,Green Beans,Raspberry Shake,D,c,465.041503117,
TP29,NA,NA,Tater-Tots,Chocolate Chip Cookie,C,c,1021.06375906,
TP29,NA,NA,Glazed Donut,Bacon,C,c,613.999488826,
TP29,NA,NA,Peas,Apple,D,c,355.371104613,
TP29,NA,NA,Taco,Chicken Nuggets,C,d,480.152597454,
TP29,NA,NA,Ruben Sandwich,Sausage And Biscuit Sandwich,D,c,409.090096461,
TP29,NA,NA,Avocado,Popcorn,C,d,380.516643624,
TP29,NA,NA,Sushi,Fried Egg,D,c,291.730563457,
TP29,NA,NA,Cheeseburger,Pizza,C,c,497.52358553,
TP29,NA,NA,Tomato Soup,French Toast,D,d,284.295691833,
TP29,Toast,5,NA,NA,NA,NA,2474.26217416,
TP29,Carrots,3,NA,NA,NA,NA,4043.78916575,
TP29,Chicken Wings,6,NA,NA,NA,NA,6155.2125876,
TP29,Ham,6,NA,NA,NA,NA,8893.63402567,
TP29,Fried Chicken,5,NA,NA,NA,NA,10556.7261139,
TP29,Potato Chips,7,NA,NA,NA,NA,13325.7696749,
TP29,Avocado,4,NA,NA,NA,NA,15210.0529185,
TP29,Boiled Spinach,1,NA,NA,NA,NA,16801.9355099,
TP29,Bagel,6,NA,NA,NA,NA,19510.8756972,
TP29,Brussel Sprouts,1,NA,NA,NA,NA,20590.8254803,
TP29,Sausage And Biscuit Sandwich,6,NA,NA,NA,NA,21943.0295554,
TP29,Green Beans,3,NA,NA,NA,NA,23249.3981121,
TP29,Tomato Soup,1,NA,NA,NA,NA,24363.4409713,
TP29,Jell-O,4,NA,NA,NA,NA,26224.5237206,
TP29,Pizza,7,NA,NA,NA,NA,28884.56333,
TP29,Garlic Bread,7,NA,NA,NA,NA,30241.0911983,
TP29,Turkey Sub,6,NA,NA,NA,NA,33024.5098818,
TP29,Oysters,1,NA,NA,NA,NA,34024.9127958,
TP29,French Fries,7,NA,NA,NA,NA,36352.9973223,
TP29,Rigattoni With Marinara Sauce,7,NA,NA,NA,NA,38390.0806358,
TP29,French Toast,7,NA,NA,NA,NA,39996.5426208,
TP29,Taco,6,NA,NA,NA,NA,41585.7673707,
TP29,Cheeseburger,6,NA,NA,NA,NA,43070.849622,
TP29,Sushi,1,NA,NA,NA,NA,43918.0684232,
TP29,Broccoli,2,NA,NA,NA,NA,45542.3612546,
TP29,Pop Tart,2,NA,NA,NA,NA,47904.4064286,
TP29,Baked Potato,3,NA,NA,NA,NA,49249.2428396,
TP29,Asparagus,2,NA,NA,NA,NA,50689.9674755,
TP29,Croissant,6,NA,NA,NA,NA,52339.5184102,
TP29,Oatmeal,2,NA,NA,NA,NA,53982.9792855,
TP29,Ruben Sandwich,2,NA,NA,NA,NA,55219.7327856,
TP29,Chocolate Chip Cookie,8,NA,NA,NA,NA,56852.5457408,
TP29,Peas,3,NA,NA,NA,NA,58457.9115483,
TP29,Popcorn,6,NA,NA,NA,NA,61442.4776593,
TP29,Veggie Sandwich,2,NA,NA,NA,NA,63417.2006849,
TP29,Steak,7,NA,NA,NA,NA,65105.7117771,
TP29,Fried Egg,6,NA,NA,NA,NA,67867.7693995,
TP29,Grilled Chicken Sandwich,7,NA,NA,NA,NA,69249.9851018,
TP29,Chicken Nuggets,6,NA,NA,NA,NA,70701.7072693,
TP29,Raspberry Shake,8,NA,NA,NA,NA,72048.4148961,
TP29,Waffles,8,NA,NA,NA,NA,73764.6568643,
TP29,Apple,6,NA,NA,NA,NA,75233.4295427,
